ID,Edad,Tipo_Trabajo,Estado_Civil,Educacion,Incumplimiento,Vivienda,Consumo,Contacto,Mes,Dias,Campana,Dias_Ultima_Camp,No_Contactos,Resultado_Anterior,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
23,55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
24,59,technician,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
25,49,blue-collar,married,unknown,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
26,54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
27,34,services,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
28,52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
29,41,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
30,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
31,32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
32,38,admin.,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
33,57,admin.,married,university.degree,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
34,42,technician,single,professional.course,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
35,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
36,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
37,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
38,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
39,54,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
40,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
41,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
42,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
43,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
44,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
45,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
46,48,admin.,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
47,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
48,33,admin.,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
49,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
50,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
51,41,management,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
52,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
53,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
54,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
55,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
56,55,technician,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
57,33,services,married,high.school,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
58,55,management,married,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
59,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
60,38,admin.,married,high.school,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
61,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
62,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
63,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
64,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
65,34,admin.,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
66,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
67,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
68,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
69,45,services,married,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
70,42,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
71,53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
72,37,technician,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
73,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
74,54,services,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
75,54,services,married,unknown,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
76,43,services,single,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
77,35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
78,42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
79,43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
80,58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
81,35,services,divorced,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
82,55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
83,37,management,married,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
84,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
85,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
86,57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
87,48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
88,40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
89,41,services,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
90,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
91,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
92,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
93,41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
94,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
95,41,technician,married,professional.course,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
96,35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
97,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
98,52,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
99,39,management,divorced,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
100,39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
101,56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
102,34,services,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
103,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
104,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
105,56,management,married,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
106,39,management,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
107,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
108,38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
109,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
110,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
111,35,admin.,single,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
112,40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
113,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
114,60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
115,56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
116,39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
117,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
118,51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
119,51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
120,43,technician,single,professional.course,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
121,59,services,married,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
122,24,management,single,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
123,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
124,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
125,39,services,divorced,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
126,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
127,38,services,married,high.school,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
128,56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
129,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
130,43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
131,36,services,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
132,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
133,43,services,married,high.school,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
134,46,management,married,basic.9y,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
135,44,services,married,high.school,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
136,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
137,28,services,married,high.school,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
138,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
139,46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
140,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,1
141,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
142,54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
143,57,management,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
144,51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
145,54,retired,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
146,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
147,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
148,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
149,45,management,divorced,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
150,42,technician,married,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
151,34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
152,37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
153,40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
154,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
155,33,services,married,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
156,32,services,single,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
157,43,admin.,married,unknown,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
158,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
159,35,student,single,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
160,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
161,36,services,single,basic.4y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
162,36,student,single,basic.9y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
163,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
164,57,retired,married,unknown,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
165,39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
166,39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
167,30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
168,30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
169,40,services,married,high.school,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
170,35,admin.,married,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
171,36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
172,46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
173,40,technician,married,basic.9y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
174,58,retired,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
175,43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
176,45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
177,39,admin.,married,professional.course,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
178,50,services,divorced,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
179,32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
180,39,admin.,married,high.school,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
181,52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
182,44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
183,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
184,48,admin.,married,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
185,43,management,married,university.degree,unknown,no,yes,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
186,57,retired,married,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
187,36,technician,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
188,30,technician,married,university.degree,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
189,33,services,divorced,unknown,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
190,32,technician,single,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
191,36,technician,single,high.school,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
192,36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
193,33,services,single,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
194,40,technician,divorced,professional.course,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
195,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
196,51,services,married,basic.6y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
197,36,technician,married,professional.course,no,yes,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
198,28,services,married,unknown,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
199,53,services,married,high.school,no,yes,yes,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
200,45,management,married,basic.9y,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
201,33,admin.,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
202,33,admin.,married,high.school,no,no,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
203,27,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
204,42,technician,married,high.school,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
205,43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
206,42,admin.,married,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
207,27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
208,34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
209,31,student,single,university.degree,unknown,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
210,54,management,divorced,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
211,40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
212,52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
213,47,management,divorced,university.degree,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
214,49,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
215,32,admin.,single,high.school,no,no,no,telephone,may,mon,2,999,0,nonexistent,1.1,93994,-36.4,4857,5191,0
